node_id,drug,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
16502,Loteprednol,0.091951914,0.1509652,-0.04158725,0.04688382,-0.13549103,0.044631086,-0.011027634,0.25570434,-0.15112619,-0.043314293,-0.00097464025,0.061143182,-0.013702497,0.11227002,-0.0601881,-0.062943
14367,Triclosan,0.16069749,-0.32436478,-0.31136113,-0.36737305,-0.0053400733,0.05612752,-0.36638477,-0.5195445,0.26772887,-0.41723803,-0.10930698,-0.03838952,-0.5594182,-0.1540336,0.3743903,-0.19356716
14108,Azapropazone,-0.063683465,0.1302977,0.029886529,-0.070491716,-0.085287735,0.037352346,0.04639341,-0.028319687,0.005247757,-0.121673755,-0.06261839,0.26881024,0.14574099,-0.035328485,-0.13648249,0.028264761
13958,Azidocillin,-0.10168294,-0.23485523,-0.047652505,-0.23760831,-0.030244768,0.03480229,-0.036669813,0.032249838,0.048377678,0.21532121,-0.005035877,0.13416564,0.08219543,-0.12965785,0.030946106,-0.0032939427
13956,Sulfamoxole,-0.087012164,-0.05958491,0.06643784,-0.039333895,-0.11266646,0.08154677,-0.008206949,0.0059981197,0.07928158,0.011021316,-0.048245437,0.24980319,0.15681398,-0.12031762,-0.1848213,0.026004441
13952,Antazoline,-0.06747013,-0.062016293,0.043090045,0.03615512,0.0065817013,-0.039272655,0.10747518,0.0024811924,0.032303303,-0.051322795,0.050238162,0.07404038,0.17860565,-0.087889604,-0.09578282,0.07446573
13948,Dapagliflozin,-0.10923267,-0.08645593,-0.014869086,-0.08626248,-0.06088783,0.04886056,-0.062184647,-0.13805452,0.11579993,-0.08991317,-0.042831704,0.18489015,0.06124699,-0.120853245,-0.078203544,0.033058994
13946,Simeprevir,-0.132518,-0.1524832,-0.15672214,-0.21160537,-0.036513776,0.058135163,-0.18372032,-0.343818,0.14064229,-0.14504087,-0.1039215,0.2894265,-0.10770392,-0.107951246,-0.033391044,-0.07633213
13941,Ponatinib,0.19066513,-0.13123137,-0.21080779,-0.055564754,0.029348,0.14333852,-0.24550274,-0.31659344,0.057784475,-0.27453214,-0.052531883,-0.13496056,-0.49568018,-0.053763717,0.22632663,-0.08221541
13939,Bedaquiline,-0.16620633,-0.11061913,-0.060133107,-0.029116943,-0.00041363016,-0.01639891,7.747114e-05,-0.13909987,0.063045606,0.07083465,-0.06682168,0.15255442,0.015506566,-0.0077858046,-0.01208774,-0.069967546
